addr,size,ninsn,ncallers,ncallees,nstr,first_str
0x02008472,206,80,10,5,0,""
0x02008540,344,110,3,4,0,""
0x02008698,128,42,29,1,0,""
0x02008718,70,24,8,4,0,""
0x0200875e,10,4,9,0,0,""
0x02008768,12,5,3,0,0,""
0x02008774,16,8,5,0,0,""
0x02008784,68,26,9,1,0,""
0x020087c8,22,8,3,0,0,""
0x020087de,22,8,3,0,0,""
0x020087f4,22,8,2,0,0,""
0x0200880a,108,36,11,0,0,""
0x02008876,174,66,2,8,0,""
0x02008924,44,17,6,0,0,""
0x02008950,44,17,4,0,0,""
0x0200897c,228,74,2,0,0,""
0x02008a60,124,46,7,1,0,""
0x02008adc,230,84,2,5,0,""
0x02008bc2,92,34,18,5,0,""
0x02008c1e,40,13,5,3,0,""
0x02008c46,64,21,5,2,0,""
0x02008c86,88,36,2,3,0,""
0x02008cde,66,25,1,4,0,""
0x02008d20,232,68,5,7,0,""
0x02008e08,470,161,4,4,0,""
0x02008fde,10,4,2,0,0,""
0x02008fe8,10,4,1,0,0,""
0x02008ff2,920,325,3,10,0,""
0x0200938a,430,138,11,3,0,""
0x02009538,10,4,3,1,0,""
0x02009542,166,61,2,4,0,""
0x020095e8,220,85,5,2,0,""
0x020096c4,44,19,5,1,0,""
0x020096f0,46,16,3,1,0,""
0x0200971e,8,3,7,1,0,""
0x02009726,402,165,7,0,0,""
0x020098b8,156,56,3,6,0,""
0x02009954,300,108,1,7,0,""
0x02009a80,280,87,10,0,0,""
0x02009b98,988,344,1,8,0,""
0x02009f74,20,9,2,0,0,""
0x02009f88,214,79,5,4,0,""
0x0200a05e,16,6,3,0,0,""
0x0200a06e,10,4,4,0,0,""
0x0200a078,26,13,1,0,0,""
0x0200a092,154,61,5,2,0,""
0x0200a12c,194,71,4,4,0,""
0x0200a1ee,26,10,1,0,0,""
0x0200a208,28,10,2,0,0,""
0x0200a224,1428,487,3,10,0,""
0x0200a7b8,28,10,5,0,0,""
0x0200a7d4,54,20,3,3,0,""
0x0200a80a,52,25,3,3,0,""
0x0200a83e,26,9,2,0,0,""
0x0200a858,136,58,3,2,0,""
0x0200a8e0,332,120,3,10,0,""
0x0200aa2c,162,55,2,5,0,""
0x0200aace,16,6,3,0,0,""
0x0200aade,298,118,1,9,0,""
0x0200ac08,762,241,1,3,0,""
0x0200af02,42,15,2,2,0,""
0x0200af2c,2166,704,1,15,0,""
0x0200b7a2,86,34,2,5,0,""
0x0200b7f8,58,21,3,2,0,""
0x0200b832,254,94,3,6,0,""
0x0200b930,42,15,2,2,0,""
0x0200b95a,16,5,1,0,0,""
0x0200b96a,12,5,1,0,0,""
0x0200b976,262,93,1,1,0,""
0x0200ba7c,18,7,2,0,0,""
0x0200ba8e,74,28,6,1,0,""
0x0200bad8,26,10,5,0,0,""
0x0200baf2,846,316,1,3,0,""
0x0200be40,16,7,1,1,0,""
0x0200be50,40,16,6,0,0,""
0x0200be78,1390,446,4,5,0,""
0x0200c3e6,172,73,5,0,0,""
0x0200c492,44,15,2,0,0,""
0x0200c4be,4114,1383,4,49,0,""
0x0200d4d0,104,43,1,4,0,""
0x0200d538,84,34,2,3,0,""
0x0200d58c,34,14,2,1,0,""
0x0200d5ae,54,18,3,1,0,""
0x0200d5e4,226,78,6,0,0,""
0x0200d6c6,66,27,6,0,0,""
0x0200d708,848,313,3,2,0,""
0x0200da58,228,91,3,2,0,""
0x0200db3c,164,62,4,2,0,""
0x0200dbe0,24,11,2,1,0,""
0x0200dbf8,36,16,2,1,0,""
0x0200dc1c,36,16,2,1,0,""
0x0200dc40,18,8,2,0,0,""
0x0200dc52,2002,696,3,11,0,""
0x0200e424,12,5,4,1,0,""
0x0200e430,84,25,3,0,0,""
0x0200e484,36,14,1,1,0,""
0x0200e4a8,1594,550,2,17,0,""
0x0200eae2,18,9,2,0,0,""
0x0200eaf4,232,90,1,6,0,""
0x0200ebdc,130,49,1,4,0,""
0x0200ec5e,1336,447,1,2,0,""
0x0200f196,1784,603,0,21,0,""
0x0200f88e,2536,835,0,2,0,""
0x02010276,48,15,2,1,0,""
0x020102a6,132,55,2,3,0,""
0x0201032a,306,128,2,3,0,""
0x0201045c,218,85,1,7,0,""
0x02010536,48,22,2,0,0,""
0x02010566,1436,510,0,12,0,""
0x02010b02,294,106,2,1,0,""
0x02010c28,24,8,4,0,0,""
0x02010c40,8616,2971,0,11,0,""
0x02012de8,122,44,2,1,0,""
0x02012e62,78,31,4,2,0,""
0x02012eb0,48,21,4,1,0,""
0x02012ee0,128,42,3,1,0,""
0x02012f60,200,81,1,1,0,""
0x02013028,202,79,1,0,0,""
0x020130f2,3408,1193,3,12,0,""
0x02013e42,48,23,1,0,0,""
0x02013e72,4378,1493,0,19,0,""
0x02014f8c,408,150,1,3,0,""
0x02015124,278,105,1,0,0,""
0x0201523a,1588,570,1,14,0,""
0x0201586e,536,185,1,7,0,""
0x02015a86,6102,2056,0,20,0,""
0x0201725c,8,4,1,0,0,""
0x02017264,1062,394,0,9,0,""
0x0201768a,132,54,0,1,0,""
0x0201770e,58,22,2,2,0,""
0x02017748,104,39,13,5,0,""
0x020177b0,46,16,3,0,0,""
0x020177de,42,19,3,1,0,""
0x02017808,96,33,3,4,0,""
0x02017868,74,28,1,1,0,""
0x020178b2,110,41,2,2,0,""
0x02017920,696,250,1,8,0,""
0x02017bd8,1262,421,4,22,0,""
0x020180c6,184,56,5,4,0,""
0x0201817e,232,87,14,10,0,""
0x02018266,46,20,1,0,0,""
0x02018294,84,32,1,1,0,""
0x020182e8,2068,707,0,23,0,""
0x02018afc,14,5,4,0,0,""
0x02018b0a,56,13,1,0,0,""
0x02018b42,70,24,4,0,0,""
0x02018b88,306,114,2,4,0,""
0x02018cba,52,17,3,1,0,""
0x02018cee,198,72,28,6,0,""
0x02018db4,12,5,2,1,0,""
0x02018dc0,40,16,7,2,0,""
0x02018de8,14,5,7,1,0,""
0x02018df6,14,5,3,1,0,""
0x02018e04,80,30,3,2,0,""
0x02018e54,20,10,11,2,0,""
0x02018e68,34,14,3,3,0,""
0x02018e8a,24,11,5,2,0,""
0x02018ea2,52,18,9,3,0,""
0x02018ed6,18,8,4,2,0,""
